lambda_[nm]	sensitivity_[ppm/mK]
380	0.488480867
400	0.591255739
420	0.506597551
440	0.487927268
460	0.468871991
480	0.446261637
500	0.416541962
520	0.402866363
540	0.382989343
560	0.390139871
580	0.426460343
600	0.443200782
620	0.527631247
640	0.60275433
660	0.710586511
680	0.879137713
700	1.071790505
720	1.263545824
740	1.446774207
760	1.640746291
780	1.834425995
800	2.086420952
820	2.362857652
840	2.655790126
860	3.024505062
880	3.448744201
900	3.983411456
920	4.478906883
940	5.202697976
960	5.841490703
980	6.633889953
1000	7.839517152
1020	9.622851101
1040	12.23660536
1060	12.76830071
