wavelength_[nm]	QE_(FM1)1sigma-error_FM1	1sigma-error_if-used-for-FM2
1060	0.015967177	0.0012	0.0012
1040	0.024952703	0.0015	0.0015
1020	0.041805986	0.0019	0.0020
1000	0.066018632	0.0021	0.0025
980	0.095080826	0.0025	0.0032
960	0.129500433	0.0034	0.0043
940	0.170579264	0.0045	0.0057
920	0.220973551	0.0058	0.0073
900	0.276746063	0.0073	0.0092
880	0.346169322	0.0069	0.0098
860	0.4057579	0.0081	0.0115
840	0.460409917	0.0092	0.0130
820	0.520437913	0.0104	0.0147
800	0.56985031	0.0114	0.0161
780	0.626385317	0.0125	0.0177
760	0.670648567	0.0134	0.0190
740	0.716170023	0.0143	0.0203
720	0.752470929	0.0150	0.0213
700	0.792571428	0.0159	0.0224
680	0.833491795	0.0167	0.0236
660	0.867807411	0.0174	0.0245
640	0.893542066	0.0179	0.0253
620	0.913200905	0.0183	0.0258
600	0.923397173	0.0185	0.0261
580	0.933805116	0.0187	0.0264
560	0.935050413	0.0187	0.0264
540	0.933058376	0.0187	0.0264
520	0.923655266	0.0185	0.0261
500	0.905510041	0.0181	0.0256
480	0.877498843	0.0175	0.0248
460	0.834775239	0.0167	0.0236
440	0.776513164	0.0205	0.0258
420	0.690583983	0.0183	0.0229
400	0.56083074	0.0217	0.0244
380	0.387065262	0.0201	0.0216
