# wavelength [nm]	QE (FM1)	QE 1sigma-error_if-used-for-FM2	sensitivity_[ppm/mK]
330.0	0.158769397	0.00000	0.000000000
331.0	0.161363668	0.00000	0.000000000
332.0	0.163957939	0.00000	0.000000000
333.0	0.166552211	0.00000	0.000000000
334.0	0.169146482	0.00000	0.000000000
335.0	0.171740753	0.00000	0.000000000
336.0	0.174335024	0.00000	0.000000000
337.0	0.176929295	0.00000	0.000000000
338.0	0.179523567	0.00000	0.000000000
339.0	0.182117838	0.00000	0.000000000
340.0	0.184712109	0.00000	0.000000000
341.0	0.187721464	0.00000	0.000000000
342.0	0.190730818	0.00000	0.000000000
343.0	0.193740173	0.00000	0.000000000
344.0	0.196749527	0.00000	0.000000000
345.0	0.199758882	0.00000	0.000000000
346.0	0.202768236	0.00000	0.000000000
347.0	0.205777591	0.00000	0.000000000
348.0	0.208786946	0.00000	0.000000000
349.0	0.211796300	0.00000	0.000000000
350.0	0.214805655	0.00000	0.000000000
351.0	0.218126322	0.00000	0.000000000
352.0	0.221446989	0.00000	0.000000000
353.0	0.224767656	0.00000	0.000000000
354.0	0.228088323	0.00000	0.000000000
355.0	0.231408990	0.00000	0.000000000
356.0	0.234729658	0.00000	0.000000000
357.0	0.238050325	0.00000	0.000000000
358.0	0.241370992	0.00000	0.000000000
359.0	0.244691659	0.00000	0.000000000
360.0	0.248012326	0.00000	0.000000000
361.0	0.253408410	0.00000	0.000000000
362.0	0.258804494	0.00000	0.000000000
363.0	0.264200578	0.00000	0.000000000
364.0	0.269596662	0.00000	0.000000000
365.0	0.274992746	0.00000	0.000000000
366.0	0.280388831	0.00000	0.000000000
367.0	0.285784915	0.00000	0.000000000
368.0	0.291180999	0.00000	0.000000000
369.0	0.296577083	0.00000	0.000000000
370.0	0.301973167	0.00000	0.000000000
371.0	0.310482376	0.00000	0.000000000
372.0	0.318991586	0.00000	0.000000000
373.0	0.327500795	0.00000	0.000000000
374.0	0.336010005	0.00000	0.000000000
375.0	0.344519214	0.00000	0.000000000
376.0	0.353028424	0.00000	0.000000000
377.0	0.361537633	0.00000	0.000000000
378.0	0.370046843	0.00000	0.000000000
379.0	0.378556052	0.00000	0.000000000
380.0	0.387065262	0.02160	0.488480867
381.0	0.395753536	0.02174	0.493619611
382.0	0.404441810	0.02188	0.498758354
383.0	0.413130084	0.02202	0.503897098
384.0	0.421818358	0.02216	0.509035841
385.0	0.430506632	0.02230	0.514174585
386.0	0.439194905	0.02244	0.519313329
387.0	0.447883179	0.02258	0.524452072
388.0	0.456571453	0.02272	0.529590816
389.0	0.465259727	0.02286	0.534729559
390.0	0.473948001	0.02300	0.539868303
391.0	0.482636275	0.02314	0.545007047
392.0	0.491324549	0.02328	0.550145790
393.0	0.500012823	0.02342	0.555284534
394.0	0.508701097	0.02356	0.560423277
395.0	0.517389371	0.02370	0.565562021
396.0	0.526077644	0.02384	0.570700765
397.0	0.534765918	0.02398	0.575839508
398.0	0.543454192	0.02412	0.580978252
399.0	0.552142466	0.02426	0.586116995
400.0	0.560830740	0.02440	0.591255739
401.0	0.567318402	0.02432	0.587022830
402.0	0.573806064	0.02425	0.582789920
403.0	0.580293726	0.02418	0.578557011
404.0	0.586781389	0.02410	0.574324101
405.0	0.593269051	0.02403	0.570091192
406.0	0.599756713	0.02395	0.565858283
407.0	0.606244375	0.02388	0.561625373
408.0	0.612732037	0.02380	0.557392464
409.0	0.619219699	0.02373	0.553159554
410.0	0.625707361	0.02365	0.548926645
411.0	0.632195024	0.02357	0.544693736
412.0	0.638682686	0.02350	0.540460826
413.0	0.645170348	0.02343	0.536227917
414.0	0.651658010	0.02335	0.531995007
415.0	0.658145672	0.02328	0.527762098
416.0	0.664633334	0.02320	0.523529189
417.0	0.671120997	0.02312	0.519296279
418.0	0.677608659	0.02305	0.515063370
419.0	0.684096321	0.02297	0.510830460
420.0	0.690583983	0.02290	0.506597551
421.0	0.694880442	0.02305	0.505664037
422.0	0.699176901	0.02319	0.504730523
423.0	0.703473360	0.02334	0.503797009
424.0	0.707769819	0.02348	0.502863494
425.0	0.712066278	0.02363	0.501929980
426.0	0.716362737	0.02377	0.500996466
427.0	0.720659196	0.02391	0.500062952
428.0	0.724955655	0.02406	0.499129438
429.0	0.729252114	0.02420	0.498195924
430.0	0.733548574	0.02435	0.497262410
431.0	0.737845033	0.02450	0.496328895
432.0	0.742141492	0.02464	0.495395381
433.0	0.746437951	0.02479	0.494461867
434.0	0.750734410	0.02493	0.493528353
435.0	0.755030869	0.02508	0.492594839
436.0	0.759327328	0.02522	0.491661325
437.0	0.763623787	0.02536	0.490727810
438.0	0.767920246	0.02551	0.489794296
439.0	0.772216705	0.02566	0.488860782
440.0	0.776513164	0.02580	0.487927268
441.0	0.779426268	0.02569	0.486974504
442.0	0.782339371	0.02558	0.486021740
443.0	0.785252475	0.02547	0.485068976
444.0	0.788165579	0.02536	0.484116213
