#Taken from https://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
#TEff(k)	G-V
10700	0.017
10400	0.015
9700	0.007
9200	0
8840	-0.005
8550	-0.009
8270	-0.02
8080	-0.024
8000	-0.026
7800	-0.036
7500	-0.046
7440	-0.047
7220	-0.06
7030	-0.079
6810	-0.093
6720	-0.1
6640	-0.107
6510	-0.116
6340	-0.129
6240	-0.135
6170	-0.14
6060	-0.146
6000	-0.15
5920	-0.155
5880	-0.162
5770	-0.167
5720	-0.169
5680	-0.172
5660	-0.174
5590	-0.18
5530	-0.182
5490	-0.188
5340	-0.204
5280	-0.221
5240	-0.225
5170	-0.232
5140	-0.241
5040	-0.254
4990	-0.288
4830	-0.322
4700	-0.371
4600	-0.412
4540	-0.425
4410	-0.454
4330	-0.495
4230	-0.528
4190	-0.581
4070	-0.595
4000	-0.628
3940	-0.69
3870	-0.65
3800	-0.74
3700	-0.82
3650	-0.85
3550	-0.92
3500	-1.02
3410	-1.09
3250	-1.29
3200	-1.41
3100	-1.55
3030	-1.74
3000	-2.01
2850	-2.14
2710	-2.64
2650	-2.98
2600	-3.03
2500	-3.08
2440	-3.04
2400	-3
2320	-3.1
2250	-3.2
