#Time [s]	Temp [°C]
0	-9.573901795
30	-9.595251795
60	-9.614151795
90	-9.630951795
120	-9.646001795
150	-9.659301795
180	-9.671901795
210	-9.683101795
240	-9.693601795
270	-9.704101795
300	-9.714251795
330	-9.723351795
360	-9.731401795
390	-9.738401795
420	-9.744351795
450	-9.748551795
480	-9.752751795
510	-9.757651795
540	-9.762551795
570	-9.767801795
600	-9.772701795
630	-9.777251795
660	-9.780751795
690	-9.783901795
720	-9.787051795
750	-9.791601795
780	-9.797551795
810	-9.804901795
840	-9.812951795
870	-9.821351795
900	-9.831151795
930	-9.842001795
960	-9.854951795
990	-9.872101795
1020	-9.893451795
1050	-9.918301795
1080	-9.946301795
1110	-9.977801795
1140	-10.01245179
1170	-10.04955179
1200	-10.08805179
1230	-10.12375179
1260	-10.15735179
1290	-10.18885179
1320	-10.21895179
1350	-10.24800179
1380	-10.27670179
1410	-10.30505179
1440	-10.33305179
1470	-10.35895179
1500	-10.38205179
1530	-10.40340179
1560	-10.42300179
1590	-10.44085179
1620	-10.45765179
1650	-10.47340179
1680	-10.48845179
1710	-10.50245179
1740	-10.51575179
1770	-10.52870179
1800	-10.54060179
1830	-10.55180179
1860	-10.56230179
1890	-10.57245179
1920	-10.58190179
1950	-10.59100179
1980	-10.59940179
2010	-10.60780179
2040	-10.61550179
2070	-10.62320179
2100	-10.63055179
2130	-10.63755179
2160	-10.64420179
2190	-10.65050179
2220	-10.65645179
2250	-10.66240179
2280	-10.66800179
2310	-10.67325179
2340	-10.67850179
2370	-10.68340179
2400	-10.68795179
2430	-10.69250179
2460	-10.69705179
2490	-10.70125179
2520	-10.70510179
2550	-10.70895179
2580	-10.71280179
2610	-10.71630179
2640	-10.71980179
2670	-10.72295179
2700	-10.72610179
2730	-10.72890179
2760	-10.73205179
2790	-10.73450179
2820	-10.73695179
2850	-10.73940179
2880	-10.74185179
2910	-10.74395179
2940	-10.74570179
2970	-10.74780179
3000	-10.74955179
3030	-10.75095179
3060	-10.75270179
3090	-10.75375179
3120	-10.75515179
3150	-10.75620179
3180	-10.75725179
3210	-10.75830179
3240	-10.75900179
3270	-10.75970179
3300	-10.76040179
3330	-10.76110179
3360	-10.76180179
3390	-10.76215179
3420	-10.76250179
3450	-10.76285179
3480	-10.76320179
3510	-10.76320179
3540	-10.76355179
3570	-10.76390179
3600	-10.76390179
3630	-10.76390179
3660	-10.76425179
3690	-10.76425179
3720	-10.76425179
3750	-10.76425179
3780	-10.76460179
3810	-10.76460179
3840	-10.76460179
3870	-10.76460179
3900	-10.76460179
3930	-10.76460179
3960	-10.76460179
3990	-10.76460179
4020	-10.76460179
4050	-10.76460179
4080	-10.76460179
4110	-10.76460179
4140	-10.76355179
4170	-10.75900179
4200	-10.75095179
4230	-10.74045179
4260	-10.72750179
4290	-10.71245179
4320	-10.69565179
4350	-10.67745179
4380	-10.65400179
4410	-10.61550179
4440	-10.56300179
4470	-10.49825179
4500	-10.42300179
4530	-10.33830179
4560	-10.24590179
4590	-10.14650179
4620	-10.04255179
4650	-9.942801795
4680	-9.847951795
4710	-9.757651795
4740	-9.670851795
4770	-9.587901795
4800	-9.507716795
4830	-9.430576795
4860	-9.356726795
4890	-9.292606795
4920	-9.239021795
4950	-9.194886795
4980	-9.158976795
5010	-9.130276795
5040	-9.107876795
5070	-9.091181795
5100	-9.079736795
5130	-9.073541795
5160	-9.072351795
5190	-9.075606795
5220	-9.082711795
5250	-9.092966795
5280	-9.105811795
5310	-9.120826795
5340	-9.137766795
5370	-9.156596795
5400	-9.177246795
5430	-9.199471795
5460	-9.223026795
5490	-9.247491795
5520	-9.272621795
5550	-9.298101795
5580	-9.323721795
5610	-9.349481795
5640	-9.375276795
5670	-9.401176795
5700	-9.427181795
5730	-9.453431795
5760	-9.479926795
5790	-9.506666795
5820	-9.533651795
5850	-9.559551795
5880	-9.582651795
5910	-9.602951795
5940	-9.620801795
5970	-9.636901795
6000	-9.651251795
6030	-9.664201795
6060	-9.676101795
6090	-9.686951795
6120	-9.697451795
6150	-9.707951795
6180	-9.717401795
6210	-9.726151795
6240	-9.733851795
6270	-9.740501795
6300	-9.745401795
6330	-9.749601795
6360	-9.754151795
6390	-9.759051795
6420	-9.764301795
6450	-9.769201795
6480	-9.774101795
6510	-9.777951795
6540	-9.781451795
6570	-9.784251795
6600	-9.788101795
6630	-9.793351795
6660	-9.800001795
6690	-9.807351795
6720	-9.815751795
6750	-9.824851795
6780	-9.835001795
6810	-9.846201795
6840	-9.861251795
6870	-9.880151795
6900	-9.902901795
6930	-9.929151795
6960	-9.958901795
6990	-9.991801795
7020	-10.02750179
7050	-10.06565179
7080	-10.10310179
7110	-10.13775179
7140	-10.17030179
7170	-10.20110179
7200	-10.23085179
7230	-10.25990179
7260	-10.28825179
7290	-10.31660179
7320	-10.34390179
7350	-10.36840179
7380	-10.39080179
7410	-10.41145179
7440	-10.43000179
7470	-10.44750179
7500	-10.46395179
7530	-10.47935179
7560	-10.49405179
7590	-10.50770179
7620	-10.52065179
7650	-10.53325179
7680	-10.54480179
7710	-10.55565179
7740	-10.56615179
7770	-10.57595179
7800	-10.58505179
7830	-10.59380179
7860	-10.60255179
7890	-10.61060179
7920	-10.61830179
7950	-10.62565179
7980	-10.63265179
8010	-10.63965179
8040	-10.64630179
8070	-10.65225179
8100	-10.65820179
8130	-10.66415179
8160	-10.66975179
8190	-10.67500179
8220	-10.67990179
8250	-10.68480179
8280	-10.68935179
8310	-10.69390179
8340	-10.69810179
8370	-10.70230179
8400	-10.70615179
8430	-10.71000179
8460	-10.71385179
8490	-10.71735179
8520	-10.72050179
8550	-10.72365179
8580	-10.72680179
8610	-10.72960179
8640	-10.73240179
8670	-10.73485179
8700	-10.73730179
8730	-10.73975179
8760	-10.74185179
8790	-10.74395179
8820	-10.74605179
8850	-10.74780179
8880	-10.74955179
8910	-10.75095179
8940	-10.75235179
8970	-10.75375179
9000	-10.75515179
9030	-10.75620179
9060	-10.75725179
9090	-10.75795179
9120	-10.75865179
9150	-10.75935179
9180	-10.76005179
9210	-10.76075179
9240	-10.76110179
9270	-10.76145179
9300	-10.76180179
9330	-10.76215179
9360	-10.76250179
9390	-10.76285179
9420	-10.76285179
9450	-10.76320179
9480	-10.76320179
9510	-10.76355179
9540	-10.76355179
9570	-10.76355179
9600	-10.76355179
9630	-10.76390179
9660	-10.76390179
9690	-10.76390179
9720	-10.76390179
9750	-10.76390179
9780	-10.76390179
9810	-10.76390179
9840	-10.76390179
9870	-10.76390179
9900	-10.76390179
9930	-10.76390179
9960	-10.76390179
9990	-10.76390179
10020	-10.76110179
10050	-10.75515179
10080	-10.74605179
10110	-10.73450179
10140	-10.72050179
10170	-10.70475179
10200	-10.68725179
10230	-10.66835179
10260	-10.63860179
10290	-10.59380179
10320	-10.53570179
10350	-10.46640179
10380	-10.38660179
10410	-10.29875179
10440	-10.20285179
10470	-10.10065179
10500	-9.998101795
10530	-9.900451795
10560	-9.807701795
10590	-9.718801795
10620	-9.633751795
10650	-9.552201795
10680	-9.473311795
10710	-9.397326795
10740	-9.326941795
10770	-9.267511795
10800	-9.218161795
10830	-9.177736795
10860	-9.145046795
10890	-9.119181795
10920	-9.099336795
10950	-9.084951795
10980	-9.075746795
11010	-9.071791795
11040	-9.072596795
11070	-9.077636795
11100	-9.086141795
11130	-9.097586795
11160	-9.111446795
11190	-9.127301795
11220	-9.145081795
11250	-9.164681795
11280	-9.186066795
11310	-9.208886795
11340	-9.232896795
11370	-9.257676795
11400	-9.282981795
11430	-9.308566795
11460	-9.334256795
11490	-9.360016795
11520	-9.385846795
11550	-9.411781795
11580	-9.437891795
11610	-9.464246795
11640	-9.490846795
11670	-9.517691795
11700	-9.544501795
11730	-9.569351795
11760	-9.591051795
11790	-9.610301795
11820	-9.627451795
11850	-9.642501795
11880	-9.656501795
11910	-9.668751795
11940	-9.679951795
11970	-9.690801795
12000	-9.701301795
12030	-9.711451795
12060	-9.720901795
12090	-9.729301795
12120	-9.736301795
12150	-9.742251795
12180	-9.746801795
12210	-9.751001795
12240	-9.755551795
12270	-9.760451795
12300	-9.765701795
12330	-9.770601795
12360	-9.775151795
12390	-9.779001795
12420	-9.782151795
12450	-9.785301795
12480	-9.789501795
12510	-9.795451795
12540	-9.802451795
12570	-9.810501795
12600	-9.818901795
12630	-9.828351795
12660	-9.839201795
12690	-9.851801795
12720	-9.868251795
12750	-9.888901795
12780	-9.913401795
12810	-9.941051795
12840	-9.972201795
12870	-10.00615179
12900	-10.04290179
12930	-10.08140179
12960	-10.11780179
12990	-10.15140179
13020	-10.18325179
13050	-10.21370179
13080	-10.24275179
13110	-10.27180179
13140	-10.30015179
13170	-10.32815179
13200	-10.35405179
13230	-10.37785179
13260	-10.39920179
13290	-10.41915179
13320	-10.43735179
13350	-10.45415179
13380	-10.47025179
13410	-10.48530179
13440	-10.49930179
13470	-10.51295179
13500	-10.52555179
13530	-10.53745179
13560	-10.54900179
13590	-10.55950179
13620	-10.56965179
13650	-10.57945179
13680	-10.58855179
13710	-10.59695179
13740	-10.60535179
13770	-10.61340179
13800	-10.62110179
13830	-10.62810179
13860	-10.63510179
13890	-10.64175179
13920	-10.64840179
13950	-10.65435179
13980	-10.66030179
14010	-10.66590179
14040	-10.67115179
14070	-10.67640179
14100	-10.68130179
14130	-10.68620179
14160	-10.69075179
14190	-10.69530179
14220	-10.69950179
14250	-10.70335179
14280	-10.70720179
14310	-10.71105179
14340	-10.71455179
14370	-10.71805179
14400	-10.72120179
14430	-10.72435179
14460	-10.72750179
14490	-10.73030179
14520	-10.73310179
14550	-10.73555179
14580	-10.73800179
14610	-10.74010179
14640	-10.74220179
14670	-10.74430179
14700	-10.74640179
